order_id,date,region,product,salesperson,channel,quantity,price,sales,cost,notes,irrelevant_column
10081,2024-03-25,west,Widget B,David,Retail,12,136.89,1642.68,852.17,ok,extra31
10082,2024-05-24,north,Widget A,Helen,Retail,14,193.42,2707.88,2189.17,ok,extra36
10083,2024-03-23, SOUTH ,Widget A,Grace,Online,5,167.05,835.25,372.4,ok,extra26
10084,2024-02-20,East, Widget B ,Helen,Retail,5,,159.15,86.49,ok,extra40
10085,2024-11-07,west,Widget A,Bob,Retail,10,51.34,513.4,236.64,ok,extra39
10086,2024-01-01,North,Widget D,Helen,Online,14,41.53,581.42,426.82,ok,extra41
10087,2024-05-03,East, Widget B ,Helen,Wholesale,19,148.36,2818.84,1596.19,ok,extra31
10088,2024-05-30,west,Widget C,Alice,Wholesale,2,66.54,133.08,73.86,ok,extra13
10089,2024-07-07,west,Widget C,Eva,Online,15,179.45,2691.75,1597.08,ok,extra47
10090,2024-02-22,west,Widget A,Frank,Wholesale,10,91.95,919.5,697.75,ok,extra28
10091,2024-07-05,North,Widget B,Bob,Online,6,190.79,1144.74,539.62,ok,extra50
10092,2024-08-18,West,Widget A,Alice,Wholesale,3,116.91,350.73,233.14,ok,extra12
10093,2024-08-16,west,Widget A,Frank,Wholesale,16,44.03,704.48,329.6,ok,extra23
10094,2024-12-29,west,Widget A,Frank,Wholesale,12,104.21,1250.52,576.09,ok,extra37
10095,2024-06-07, SOUTH ,widget a,Bob,Retail,16,107.51,1720.16,1349.61,ok,extra30
10096,2024-04-03,East,Widget B,Frank,Wholesale,17,182.59,3104.03,1327.61,ok,extra15
10097,2024-11-21,East,Widget B,Frank,Wholesale,10,124.81,,557.54,ok,extra3
10098,2024-11-29,north,Widget D,David,Wholesale,20,129.6,2592.0,1682.26,ok,extra26
10099,2024-04-14, SOUTH ,Widget E,Bob,Retail,11,148.17,1629.87,1353.43,ok,extra16
10100,2024-07-15,East,Widget D,Helen,Retail,6,163.63,981.78,851.08,ok,extra20
10101,2024-10-25,North, Widget B ,Bob,Retail,16,121.52,1944.32,1597.11,ok,extra9
10102,2024-10-18,South,Widget B,Bob,Retail,10,19.34,193.4,126.12,ok,extra24
10103,2024-09-17,East,Widget C,Frank,Online,2,31.72,63.44,35.94,ok,extra26
10104,2024-09-29,north, Widget B ,Alice,Wholesale,16,164.07,2625.12,1533.54,ok,extra31
10105,2024-01-27,South,Widget B,Alice,Retail,20,156.05,3121.0,1841.69,ok,extra21
10106,2024-08-29,west,Widget E,Grace,Retail,2,142.63,285.26,188.08,ok,extra12
10107,2024-12-14,north, Widget B ,Eva,Wholesale,20,99.42,1988.4,1747.14,ok,extra14
10108,2024-05-20,East,Widget C,Alice,Retail,18,79.04,1422.72,1266.33,ok,extra46
10109,2024-10-02,West,widget a,David,Online,9,31.77,$285.93,202.39,ok,extra7
10110,2024-10-08,North, Widget B ,Bob,Wholesale,16,98.1,1569.6,784.37,ok,extra37
10111,2024-08-01,north,Widget A,Alice,Retail,2,199.45,398.9,238.74,ok,extra37
10112,2024-09-25,west,widget a,Eva,Wholesale,17,,1636.42,812.33,ok,extra12
10113,2024-11-08,East,Widget D,Frank,Online,14,105.48,1476.72,654.73,ok,extra1
10114,10/20/2024,north,widget a,Bob,Wholesale,8,17.11,136.88,62.84,ok,extra19
10115,2024-11-06,South,Widget E,Helen,Wholesale,16,152.68,2442.88,1956.74,ok,extra46
10116,2024-04-13,west,Widget A,Helen,Online,11,171.62,1887.82,1172.19,ok,extra30
10117,2024-06-06,South,Widget E,Alice,Online,1,150.43,150.43,103.67,ok,extra31
10118,2024-11-26,East,widget a,Frank,Online,13,92.46,1201.98,1031.97,ok,extra12
10119,2024-01-12,East,Widget C,David,Wholesale,18,87.7,1578.6,930.8,ok,extra49
10120,2024-01-09,North,Widget D,Helen,Online,20,11.55,999999.99,161.44,ok,extra35
10121,2024-10-21,EAST,Widget C,Eva,Online,11,51.2,563.2,472.03,ok,extra36
10122,2024-09-10,EAST,Widget B,Helen,Online,13,158.23,2056.99,1150.61,ok,extra15
10123,2024-08-01, SOUTH ,Widget A,David,Online,8,54.72,437.76,247.39,ok,extra18
10124,2024-10-27,West,Widget B,Bob,Wholesale,16,45.73,731.68,624.5,ok,extra49
10125,2024-10-09,west,Widget D,Bob,Wholesale,15,109.06,1635.9,948.22,ok,extra31
10126,2024-04-23, SOUTH ,Widget B,Grace,Wholesale,18,187.28,3371.04,2324.57,ok,extra16
10127,2024-11-24,North,Widget E,Alice,Online,12,38.01,,346.72,ok,extra43
10128,03/18/2024,west,Widget A,Alice,Wholesale,12,16.79,,144.84,ok,extra36
10129,2024-09-14,north, Widget B ,Frank,Retail,6,25.87,155.22,69.56,ok,extra26
10130,2024-06-02,North,widget a,Carol,Online,2,23.23,46.46,27.39,ok,extra32
10131,2024-09-27,North,Widget B,Frank,Online,19,97.72,1856.68,785.9,ok,extra14
10132,2024-03-24,South,Widget E,Frank,Online,13,137.02,1781.26,1193.95,ok,extra7
10133,2024-07-22,EAST,Widget D,Carol,Wholesale,9,157.79,1420.11,887.96,ok,extra38
10134,2024-02-12,north,Widget D,Frank,Retail,5,-149.23,746.15,416.6,ok,extra7
10135,2024-01-14,EAST, Widget B ,Bob,Wholesale,20,121.62,2432.4,1367.53,ok,extra36
10136,2024-03-12,South,Widget C,Eva,Online,5,17.34,86.7,53.52,ok,extra47
10137,2024-07-21,East,Widget C,Frank,Wholesale,11,90.84,999.24,614.84,ok,extra45
10138,2024-12-21,West,Widget E,Carol,Wholesale,8,68.55,548.4,296.22,ok,extra50
10139,2024-05-29,East,widget a,Grace,Retail,14,136.23,1907.22,895.61,ok,extra5
10140,2024-12-20,South, Widget B ,David,Wholesale,12,141.82,1701.84,1371.94,ok,extra43
10141,2024-07-23,West,Widget D,Frank,Retail,14,25.66,359.24,161.41,ok,extra30
10142,2024-02-23,west, Widget B ,David,Wholesale,3,27.63,82.89,72.14,ok,extra31
10143,2024-01-23,West,Widget E,Carol,Wholesale,11,131.35,1444.85,1067.12,ok,extra11
10144,2024-04-05,North,widget a,David,Online,1,148.79,148.79,125.21,ok,extra18
10145,2024-04-05,EAST,Widget E,Grace,Wholesale,4,56.16,224.64,186.75,ok,extra8
10146,2024-06-01,East,Widget E,Grace,Retail,5,66.07,330.35,171.55,ok,extra39
10147,2024-11-26,North, Widget B ,Frank,Online,6,100.48,602.88,283.44,ok,extra32
10148,2024-12-16,north,Widget A,Eva,Online,15,100.3,1504.5,663.99,ok,extra35
10149,2024-09-18,west,Widget E,David,Retail,18,165.54,2979.72,1738.46,ok,extra7
10150,2024-05-14, SOUTH , Widget B ,Grace,Online,15,173.73,2605.95,1195.33,ok,extra40
10151,2024-05-23,South,Widget B,Grace,Online,10,61.42,614.2,327.78,ok,extra18
10152,2024-05-06,South,widget a,Bob,Retail,16,32.72,523.52,374.95,ok,extra33
10153,10/24/2024,South, Widget B ,Grace,Online,3,147.53,442.59,278.49,ok,extra28
10154,2024-03-07,west,Widget A,Bob,Online,11,179.36,1972.96,1541.13,ok,extra29
10155,2024-11-28,East,Widget A,Grace,Wholesale,9,23.2,208.8,121.15,ok,extra20
10156,2024-04-19,South, Widget B ,Grace,Wholesale,8,106.29,-850.32,529.35,ok,extra9
10157,2024-07-07,East,Widget D,Frank,Wholesale,5,130.11,650.55,480.48,ok,extra14
10158,2024-02-14,East,Widget B,Eva,Wholesale,4,119.97,479.88,284.1,ok,extra6
10159,2024-01-14,North, Widget B ,David,Retail,10,45.06,450.6,316.98,ok,extra25
10160,2024-07-03,South,Widget A,Bob,Online,19,87.07,1654.33,1113.66,ok,extra17
10161,2024-12-30,north,Widget A,David,Online,13,21.07,273.91,183.05,ok,extra35
10162,2024-06-07,North,Widget C,Carol,Online,8,16.29,130.32,57.75,ok,extra1
10163,2024-05-12,EAST,Widget C,Bob,Retail,9,147.92,1331.28,611.1,ok,extra46
10164,2024-10-17,North,Widget A,Alice,Online,4,179.38,717.52,528.86,ok,extra3
10165,2024-10-10,South,Widget E,Frank,Online,14,48.78,682.92,357.94,ok,extra33
10166,2024-07-24, SOUTH ,Widget B,Eva,Wholesale,10,155.84,1558.4,865.46,ok,extra20
10167,2024-04-10,North,Widget C,Alice,Wholesale,8,34.36,274.88,238.1,ok,extra25
10168,2024-09-08,EAST,widget a,Frank,Retail,5,143.77,718.85,320.98,ok,extra48
10169,2024-10-17, SOUTH ,Widget C,Helen,Retail,5,51.17,255.85,135.73,ok,extra15
10170,2024-03-25,north, Widget B ,Bob,Online,4,109.51,438.04,386.49,ok,extra11
10171,2024-06-16,East,Widget A,Grace,Retail,12,82.27,987.24,419.06,ok,extra36
10172,2024-01-07,South,Widget E,Eva,Online,8,30.49,243.92,198.02,ok,extra2
10173,2024-06-18,North,Widget D,Grace,Online,2,37.76,75.52,51.88,ok,extra23
10174,2024-11-13,,Widget D,David,Wholesale,16,85.34,1365.44,922.14,ok,extra34
10175,2024-07-02, SOUTH ,Widget E,David,Online,12,182.97,2195.64,1429.79,ok,extra50
10176,2024-04-29,West,Widget E,Grace,Retail,8,56.97,455.76,368.32,ok,extra12
10177,2024-01-15,,Widget E,Eva,Online,19,114.9,2183.1,1487.9,ok,extra32
10178,2024-06-18,North,Widget A,Carol,Wholesale,5,71.45,357.25,174.6,ok,extra46
10179,2024-07-10,EAST, Widget B ,Helen,Wholesale,19,24.7,469.3,258.53,ok,extra21
10180,2024-04-24,EAST, Widget B ,Alice,Online,13,64.83,842.79,627.25,ok,extra39
10181,2024-09-11, SOUTH ,Widget D,Alice,Retail,8,72.63,$581.04,325.24,ok,extra14
10182,2024-07-16,South, Widget B ,Helen,Wholesale,6,177.49,1064.94,688.53,ok,extra42
10183,2024-01-11,South,Widget C,Helen,Wholesale,3,71.65,214.95,181.41,ok,extra2
10184,2024-06-18,,Widget A,Alice,Retail,18,145.8,2624.4,2007.63,ok,extra37
10185,2024-12-04,South,Widget C,Grace,Retail,4,10.02,40.08,19.46,ok,extra32
10186,2024-07-14,East, Widget B ,Bob,Online,9,90.75,816.75,434.27,ok,extra43
10187,2024-07-17,north,Widget A,Grace,Wholesale,18,138.98,2501.64,2171.88,ok,extra3
10188,2024-03-02,EAST,Widget B,Carol,Wholesale,6,194.57,1167.42,938.87,ok,extra17
10189,2024-10-09,EAST,Widget A,Grace,Online,15,183.85,2757.75,1120.15,ok,extra10
10190,2024-02-21,west,Widget A,Carol,Retail,12,176.19,2114.28,1124.94,ok,extra26
10191,2024-06-18,north,Widget C,Eva,Retail,16,184.56,2952.96,2505.63,ok,extra45
10192,2024-06-13, SOUTH , Widget B ,Alice,Wholesale,3,41.65,124.95,63.19,ok,extra11
10193,10/18/2024,West,Widget C,Frank,Retail,7,168.21,1177.47,617.87,ok,extra33
10194,2024-08-16,South,Widget C,Alice,Retail,19,112.51,2137.69,1223.02,ok,extra4
10195,2024-12-12,East,widget a,Carol,Wholesale,17,-8.91,151.47,119.68,ok,extra1
10196,2024-05-20,EAST,Widget E,Bob,Online,12,94.5,1134.0,577.32,ok,extra33
10197,2024-05-24,north,Widget B,Carol,Wholesale,3,70.58,211.74,113.97,ok,extra49
10198,2024-06-12,North,Widget E,David,Retail,16,199.51,3192.16,1690.93,ok,extra47
10199,2024-07-02,East,widget a,Frank,Wholesale,18,40.32,725.76,325.72,ok,extra6
10200,2024-07-09,South,Widget D,David,Wholesale,4,96.75,387.0,322.45,ok,extra8
10201,2024-03-11,, Widget B ,Bob,Retail,19,179.1,3402.9,3039.89,ok,extra22
10202,2024-03-27,west,Widget D,Alice,Online,3,30.23,90.69,,ok,extra35
10203,2024-13-40,north,Widget B,Bob,Online,8,49.12,392.96,329.49,ok,extra20
10204,2024-12-17,EAST,Widget A,David,Online,16,75.05,1200.8,,ok,extra47
10205,2024-12-30,South,widget a,Alice,Online,9,155.39,1398.51,995.13,ok,extra45
10206,2024-04-15,East,Widget D,Bob,Wholesale,10,87.07,870.7,392.24,ok,extra47
10207,2024-05-14,West,widget a,Helen,Retail,12,,1706.04,934.36,ok,extra16
10208,2024-03-17,north,Widget C,Helen,Online,3,146.09,438.27,197.5,ok,extra7
10209,2024-08-06,west,Widget E,Eva,Wholesale,2,6.89,13.78,6.47,ok,extra6
10210,2024-07-16,North, Widget B ,Carol,Online,14,131.53,1841.42,1470.29,ok,extra27
10211,2024-07-02,South,Widget C,Frank,Online,5,99.2,496.0,319.45,ok,extra46
10212,2024-12-08,EAST,Widget B,Alice,Online,20,23.57,471.4,344.53,ok,extra42
10213,2024-09-08,West,Widget A,Helen,Retail,9,14.82,133.38,68.2,ok,extra37
10214,11/30/2024,north,Widget E,David,Wholesale,2,113.64,227.28,90.93,ok,extra43
10215,2024-06-18,West,Widget A,Frank,Retail,16,144.75,2316.0,1347.1,ok,extra41
10216,2024-03-25,EAST,Widget B,Helen,Online,14,25.86,362.04,255.39,ok,extra46
10217,2024-03-04,North,Widget E,Grace,Wholesale,19,191.46,3637.74,1699.98,ok,extra31
10218,2024-03-06,West,Widget C,Grace,Retail,20,177.13,3542.6,2309.97,ok,extra19
10219,2024-06-02,north,widget a,Frank,Wholesale,11,143.82,1582.02,1372.81,ok,extra9
10220,2024-06-14,north, Widget B ,Grace,Online,18,98.67,1776.06,1217.17,ok,extra34
10221,2024-03-23,North,Widget C,Helen,Online,5,168.68,843.4,628.58,ok,extra40
10222,2024-05-01, SOUTH ,Widget E,Alice,Online,10,140.12,1401.2,593.39,ok,extra48
10223,2024-11-20,north,Widget D,Carol,Wholesale,19,111.59,2120.21,1487.74,ok,extra5
10224,2024-10-11, SOUTH ,Widget E,Alice,Wholesale,9,6.1,54.9,34.76,ok,extra40
10225,2024-12-28,EAST,Widget A,Frank,Online,6,106.52,639.12,506.9,ok,extra14
10226,2024-08-31,West,Widget A,Frank,Retail,1,27.37,27.37,15.68,ok,extra8
10227,2024-07-10,South,Widget B,Alice,Wholesale,16,13.55,216.8,184.09,ok,extra5
10228,2024-04-15,west,widget a,Frank,Online,14,131.08,1835.12,1596.33,ok,extra6
10229,2024-05-12,South, Widget B ,Alice,Wholesale,13,89.44,1162.72,474.91,ok,extra5
10230,2024-05-24,EAST, Widget B ,Eva,Wholesale,13,165.31,2149.03,892.73,ok,extra10
10231,2024-01-06,South,Widget C,David,Wholesale,4,13.15,52.6,36.1,ok,extra48
10232,2024-03-23,west,widget a,Bob,Retail,9,42.89,386.01,189.41,ok,extra43
10233,2024-03-06,,widget a,Carol,Wholesale,10,125.81,1258.1,1069.46,ok,extra37
10234,2024-04-23,west,Widget D,Frank,Retail,9,168.82,1519.38,709.78,ok,extra32
10235,2024-03-12,EAST, Widget B ,David,Online,3,146.85,440.55,372.73,ok,extra36
10236,2024-07-19,North,widget a,David,Wholesale,10,31.11,311.1,202.39,ok,extra44
10237,2024-12-03,north,Widget C,David,Online,16,188.14,3010.24,1264.93,ok,extra43
10238,2024-01-24,north,Widget E,Carol,Retail,4,142.23,568.92,375.88,ok,extra42
10239,2024-04-24,East,Widget D,Carol,Online,12,99.94,1199.28,768.8,ok,extra5
10240,2024-03-01,East,widget a,Grace,Online,11,145.45,1599.95,1025.18,ok,extra16
10241,2024-10-20,north,Widget A,David,Retail,6,105.74,634.44,382.39,ok,extra39
10242,2024-10-25,South,Widget B,Grace,Retail,17,56.58,961.86,733.03,ok,extra9
10243,2024-03-17,South,Widget D,Carol,Wholesale,20,121.96,2439.2,2046.19,ok,extra35
10244,2024-07-08,South,Widget D,Carol,Retail,14,49.75,696.5,558.0,ok,extra31
10245,2024-05-11, SOUTH ,Widget D,Frank,Online,1,117.71,-117.71,54.02,ok,extra10
10246,2024-11-09,west,Widget C,Eva,Wholesale,7,85.58,599.06,474.39,ok,extra23
10247,2024-04-27,North,Widget B,Grace,Wholesale,6,24.55,147.3,96.36,ok,extra1
10248,2024-05-14,north,widget a,Alice,Online,2,146.28,,253.16,ok,extra41
10249,2024-04-09,North,Widget B,Bob,Retail,17,141.2,"$2,400.40",1698.51,ok,extra50
10250,2024-12-26,north,Widget B,David,Retail,10,146.6,1466.0,996.23,ok,extra26
10251,2024-05-30,west,Widget D,Helen,Online,17,191.56,3256.52,2729.15,ok,extra49
10252,2024-09-03,North,widget a,Eva,Online,8,137.0,1096.0,564.4,ok,extra19
10253,2024-08-31,west,widget a,David,Online,19,57.47,1091.93,953.87,ok,extra48
10254,2024-07-01,North, Widget B ,Helen,Retail,3,136.78,410.34,300.25,ok,extra40
10255,2024-04-03,EAST,Widget D,Alice,Wholesale,9,82.59,743.31,576.13,ok,extra23
10256,2024-13-40,East,Widget E,Eva,Online,7,78.99,552.93,249.03,ok,extra18
10257,2024-12-24,West, Widget B ,Bob,Wholesale,13,59.53,773.89,379.16,ok,extra18
10258,2024-13-40, SOUTH , Widget B ,Helen,Retail,14,102.42,1433.88,1287.31,ok,extra17
10259,2024-05-10,north,Widget C,Alice,Retail,15,150.2,2253.0,1193.83,ok,extra8
10260,2024-10-02,South,Widget D,Eva,Retail,12,68.39,820.68,537.73,ok,extra41
10261,2024-11-09,north,Widget E,Grace,Retail,3,20.43,61.29,35.05,ok,extra29
10262,2024-03-26,East,Widget D,Bob,Online,8,134.09,1072.72,933.5,ok,extra5
10263,2024-02-12,north,Widget D,Carol,Online,3,132.69,,335.47,ok,extra34
10264,2024-08-31,west,widget a,Grace,Wholesale,9,111.97,1007.73,471.17,ok,extra41
10265,2024-08-14, SOUTH ,Widget C,Helen,Wholesale,5,64.2,321.0,128.41,ok,extra1
10266,2024-05-29,East,widget a,Grace,Retail,18,77.86,1401.48,849.11,ok,extra15
10267,2024-12-21,,Widget A,Helen,Wholesale,18,162.72,2928.96,1776.27,ok,extra29
10268,09/30/2024,East,Widget A,Helen,Online,10,57.49,574.9,435.54,ok,extra22
10269,2024-01-17,West, Widget B ,Eva,Retail,5,15.93,79.65,62.75,ok,extra1
10270,2024-01-18,north,Widget C,Carol,Wholesale,4,106.62,426.48,380.02,ok,extra47
10271,2024-04-11,north,Widget E,Bob,Retail,7,,1363.53,706.29,ok,extra16
10272,2024-07-09,North,Widget A,Frank,Wholesale,16,22.82,365.12,258.99,ok,extra10
10273,2024-11-26,north,Widget A,Helen,Wholesale,15,147.97,2219.55,911.52,ok,extra29
10274,2024-06-14,north, Widget B ,Eva,Wholesale,20,183.32,3666.4,2483.11,ok,extra24
10275,2024-11-13,West,Widget E,Helen,Wholesale,8,67.54,540.32,233.24,ok,extra10
10276,2024-02-04,EAST,widget a,Helen,Wholesale,6,175.33,1051.98,527.08,ok,extra40
10277,2024-04-16,EAST, Widget B ,Frank,Wholesale,3,96.27,288.81,207.79,ok,extra4
10278,2024-04-20,East,Widget E,Grace,Wholesale,8,108.67,869.36,430.1,ok,extra7
10279,2024-02-23, SOUTH ,Widget C,Frank,Retail,13,103.42,1344.46,979.8,ok,extra27
10280,2024-04-19,North,Widget C,Alice,Wholesale,9,-75.2,676.8,423.81,ok,extra9
10281,2024-01-12,South,Widget A,Helen,Retail,9,184.23,1658.07,1087.09,ok,extra10
10282,2024-02-17,South,Widget E,Eva,Online,7,148.18,1037.26,790.17,ok,extra47
10283,2024-08-10,EAST,Widget A,Eva,Wholesale,8,150.8,1206.4,994.97,ok,extra3
10284,2024-12-10,EAST,Widget B,Carol,Retail,15,151.8,2277.0,1565.73,ok,extra6
10285,2024-08-10,West,Widget B,Bob,Retail,5,98.78,493.9,246.48,ok,extra50
10286,2024-07-06,west,Widget E,Carol,Retail,20,132.8,2656.0,2084.54,ok,extra3
10287,2024-02-13,South,Widget C,Helen,Retail,20,-185.71,3714.2,3099.04,ok,extra2
10288,2024-10-07,North,Widget C,Carol,Online,5,140.54,702.7,515.87,ok,extra19
10289,2024-02-04,West,Widget D,Bob,Retail,12,173.54,2082.48,852.86,ok,extra32
10290,12/30/2024, SOUTH ,Widget C,Eva,Online,17,-64.46,1095.82,706.77,ok,extra33
10291,2024-01-16,EAST,Widget E,David,Retail,8,34.58,276.64,234.75,ok,extra16
10292,2024-03-08,East,Widget D,Carol,Wholesale,18,138.39,2491.02,1248.39,ok,extra37
